url,short_url,sub_domain,favicon,ip,href_count,state_code,url_length,ssl,page_redirect,meta_data,url_rank
http://www.soapclient.com/uddisearch.html,0,1,-1,1625762724,50,0,41,1,0,1,772428
http://www.fortranlib.com/ezann.html,0,1,0,1632285824,3,0,36,1,0,1,10000000
http://www.qinxin.cn/images/index.htm?ref=mqqaeukus.battle.net/d3/en/index,1,1,0,3659159763,21,0,21,1,0,1,10000000
http://cui.unige.ch/db-research/Enseignement/analyseinfo/PLSQL21/BNFindex.html,0,1,0,2176977451,0,1,78,1,0,0,22183
http://www.waterdamagefortpierce.org/~everythi/klm/,0,1,0,2917956866,1,1,51,1,0,1,10000000
http://j-mchenry.com/0_bikes/plandocs/docs/,1,1,-1,3334053776,15,1,44,0,0,1,10000000
http://studio911.fr/cloud,1,1,0,3585745171,99,0,20,0,0,1,10000000
http://www.dianazink.com/blog/,1,1,0,3627730707,70,0,26,0,0,1,327917
http://www.dam-marine.com/us/index.htm,0,1,1,1441569340,68,0,38,1,0,1,8373949
http://www.aahp.org/Content/NavigationMenu/About_AAHP/Who_We_Are/Health_Plan_Member_Links/Health_Plan_Member_Links.htm,1,1,-1,1613583264,152,1,119,0,0,1,186155
http://members.tripod.com/~into_the_shadows/index.html,0,1,0,3519740994,39,0,54,1,0,0,142518
http://www.airnav.com/airports/us/MS,0,1,0,2994767740,100,0,36,1,0,1,99782
http://sourceforge.net/projects/appear/,1,1,0,3630769677,236,0,40,0,0,1,467
http://www.lnhcxh.com.cn/js/?mod=www,0,1,0,2709235132,1,0,36,1,0,1,10000000
http://www.mars.dti.ne.jp/~umejava/smalltalk/stClasses/dandelion/,0,1,0,3403217950,50,0,65,1,0,1,43406
http://www.mlxa.com/js/?us.battle.net/login/en/?ref=http\%3A\%2F\%2Fus.battle.net\%2Fd3\%2Fen\%2Findex&amp;amp;app=com-d3,1,1,0,2102191635,1,1,133,1,0,0,10000000
http://www.crockford.com/javascript/,0,1,0,1255206057,34,0,36,1,0,1,367436
http://www.babinet.cz/avatars/19889/hires/dir/8c8373b4fcc13ebfabca4771392fc40c/,1,1,0,1604894786,0,1,76,0,0,0,757362
http://www.angelfire.com/or3/crap_organization/,0,1,0,3519740969,11,0,47,1,0,0,17554
http://sourceforge.net/projects/erloci/,1,1,0,3630769677,251,0,40,0,0,1,467
"http://www.sharp-usa.com/products/FunctionLanding/0,1050,14,00.html",1,1,1,387272807,52,0,23,1,0,1,133651
http://www.hp.com/sbso/index.html,0,1,0,256437788,0,0,33,1,1,1,296
http://www.cnhedge.cn/js/index.htm?us.battle.net/login/en/?ref=hldrmtwus.battle.net/d3/en/index&amp;app=com-d3,0,1,0,1285867426,0,1,110,1,0,0,10000000
http://tools.ietf.org/html/rfc747,1,1,1,1084908074,10,0,34,0,0,1,12119
http://wickedwhiskcatering.com/wp-includes/js/sikp/edited/aollogin.psp.htm,1,1,0,599308391,14,1,75,0,0,1,10000000
http://www.stbcomputer.com/autodesk/components/www.paypal.com/dk/cgi-bin/webscr/cmd-login/805db510dc98ac8a7808e470d31dbb96,1,1,1,400762432,210,1,119,0,0,1,5117351
http://login.44031.maxkz.com/4fa47e7ba6ef96c786f30a24fa24a869/login.html,0,1,0,3342594713,0,0,72,1,0,1,10000000
http://tools.ietf.org/html/rfc365,1,1,1,1084908074,21,0,34,0,0,1,12119
http://www.ee.oulu.fi/research/ouspg/,1,1,0,2196192540,30,0,38,0,0,1,37963
http://nektra.com/products/deviare-api-hook-windows/,1,1,1,2649152690,91,0,57,0,0,1,7366934
http://www.cs.colorado.edu/conferences/idc2005/,1,1,0,2156545048,0,1,48,0,0,0,2914
http://home.surewest.net/brett/,0,1,0,1111261835,0,1,31,1,0,0,3381129
http://www.communitywiki.org/cw?WikiSpam,1,1,0,3000054509,298,0,39,0,0,1,10000000
http://www.ada-auth.org/arm.html,0,1,0,415519458,30,0,32,1,0,1,10000000
http://www.innvy.com/fr/cgi-bin/Achetez\%20et\%20vendez\%20en\%20ligne\%20-\%20Site\%20PayPal.htm,1,1,0,1729444473,0,1,111,1,0,0,10000000
http://www.drclue.net/projects/jsDHTMLlib/,1,1,0,57804555,68,0,60,0,0,1,10000000
http://people.csail.mit.edu/pousse/,0,1,0,2149450373,37,0,35,1,0,1,511
http://www.internettrash.com/users/pacmanpoet/,1,1,0,2833991324,57,0,29,1,0,1,10000000
http://www.artinstitutes.edu/newyork/,1,1,0,585163682,67,0,60,0,0,1,106808
http://www.superaje.com/~codefelt/,1,1,0,3512201027,6,0,31,0,0,1,10000000
http://www.angelfire.com/pa2/gamenoise/,0,1,0,3519740969,3,0,39,1,0,1,17554
http://www.pragmasql.com/pragmasql/default.aspx,0,1,0,2921500358,0,0,47,1,0,1,10000000
http://www.javaworld.com/javaworld/jw-05-2002/jw-0503-java101.html,1,1,1,2540001957,1,1,67,0,0,1,770401
http://www.gamespot.com/pc/action/soulreaver2/,1,1,1,2539989436,160,0,45,0,0,1,772
http://www.alphaworks.ibm.com/tech/xmlsqc,1,1,0,2167023105,105,0,47,0,0,1,745
http://www.osdata.com/oses/mvs.htm,0,1,0,2731951407,108,0,34,1,0,1,2995031
http://www.pololu.com/club/,1,1,0,391911237,4,0,23,0,0,1,10000000
http://vdghdsadashgadshg.ias3.com/hotguy/index.html,1,1,0,64975801,40,0,59,0,0,1,2418
http://www.csm.ornl.gov/oscar/,1,1,0,2690321258,15,0,31,0,0,1,52635
http://feeds2.feedburner.com/adrants,0,1,0,1249758326,0,0,36,1,0,0,15187
http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.25.3241,0,1,1,2194376799,45,0,63,1,0,1,1854
http://www.handibazaar.com/handi.html,0,1,0,736180085,0,1,37,1,0,0,1452596
http://www.cs.princeton.edu/sip/WebSpoofing/,1,1,0,2154858557,12,0,41,0,0,0,6709
http://impuls-flora.by/libraries/walls/ntasa/0caebabd47c6972795344cb5240b0e78/polc.html?d80a13c0db1f8e263663d3faee8d9384d85353843a619606282818e091d0f8087357f630ff00300f6eef51fdd148f8087357f630ff00300f6eef51fdd148,0,1,0,1568498505,0,1,212,1,0,0,10000000
http://news.bbc.co.uk/1/hi/world/africa/1944801.stm,1,1,0,3560634769,75,0,45,1,0,1,148
http://www.elcomsoft.com/apdfpr.html,1,1,0,597779677,143,0,37,0,0,1,123975
http://tools.ietf.org/html/rfc3,1,1,1,1084908074,7,0,32,0,0,1,12119
http://groups.yahoo.com/group/PalDevGroup/,1,1,-1,2007043601,43,0,52,0,0,1,11
http://www.evertype.com/celtscript/inuktitut.html,1,1,0,1296564382,1,1,50,0,0,1,4814913
http://www.anglo-worldwide.com/interpreting.htm,0,1,0,2832124016,1,1,47,1,0,1,10000000
http://www.fzht.net/js/?us.battle.net/login/en/?ref=pdkovzqus.battle.net/d3/en/index&app=com-d3,0,1,0,1920229839,0,1,95,1,0,1,10000000
http://www.aspin.com/home/webapps/,0,1,-1,577145012,1,0,34,1,0,1,2327526
http://ros-realty.com/wp-content/uploads/9348578334/143493053/,1,1,0,1412885554,83,1,67,0,0,1,10000000
http://pastehtml.com/view/bg3ap8qem.html,1,1,0,2542501898,1,0,41,0,0,1,1250938
http://art-bin.com/art/or_weltypreface.html,0,1,0,1113625190,4,0,43,1,0,0,2851647
http://www.bitsavers.org/pdf/xerox/alto/BitBLT_Nov1975.pdf,0,1,0,3494711952,0,0,58,1,0,0,1402532
http://paywithpal.byethost4.com/,0,1,0,3342594713,0,0,32,1,0,1,388895
http://www.cnhedge.cn/js/index.htm?us.battle.net/login/en/?ref=cgtxambus.battle.net/d3/en/index&app=com-d3,0,1,0,1285867426,0,1,106,1,0,0,10000000
http://forums-s.ws/,0,1,0,1078334411,1,0,19,1,0,0,10000000
http://netlab.boun.edu.tr/asma/,0,1,0,1333506546,11,0,31,1,0,1,16767
http://www.hpl.hp.com/personal/ange/gnuserv/home.html,1,1,0,254888060,0,1,54,0,0,0,296
